번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
10581,62358,호맥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/62358_812542549.jpg,미확인
10582,62358,호맥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/62358_345561174.jpg,미확인
10602,64855,그랑삐아또 중화산본점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/64855_796288922.jpg,운영중
10603,64855,그랑삐아또 중화산본점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/64855_878373989.jpg,운영중
10633,67643,족발예찬 송천동본점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/67643_1943814998.jpg,운영중
10639,68734,이태리부대찌개 서곡점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/68734_740787078.jpg,운영중
10640,68734,이태리부대찌개 서곡점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/68734_1560611328.jpg,운영중
10679,74959,백번집,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/74959_1188886081.jpg,운영중
10680,74959,백번집,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/74959_1442287774.jpg,운영중
10729,82034,오빠담치킨,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/82034_375843946.jpg,폐업
10730,82070,고메드,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/82070_2128044375.jpg,미확인
10731,82070,고메드,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/82070_1782797684.jpg,미확인
10763,85812,고래술상,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/85812_225927083.jpg,미확인
10764,85812,고래술상,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/85812_137623205.jpg,미확인
